review_id,text,stars,date
3JzKv_IHQrpUCysAY9lsgg,"We stayed at the Four Points for 3 nights in November, while here on business.  Nice hotel, and a good experience. 

Check in was a breeze.  We had a good price on the room via my Sheraton/SPG member and AAA discount, which included the free breakfast.  The hotel is literally 5 minutes from the airport, and there are several other hotels right on the same block.

Staff was friendly and helpful.  Room was fine, parking easy, quiet at night.",4,2017-01-28
NbT7iIVr8rz6tglE7tYTAg,"Located right at the Union Station Metro stop (walking distance to all of downtown but metro-able too), this place was a good deal on the weekend.  Prices spike during the week when business-peeps fly in and their companies are paying the bill.  The room was clean, the bed was super comfy with TONS of pillows (one sure way to my heart).  The bathroom was large with a tub and too many white towels for two people.  Subtracted one star cause the coffee machine in our room sucked and the door was thin so you could hear people/children in the hall at WAY too early in the morning.  The main lobby is really a cool place tho.  Definitely worth checking out if you're in the area.",4,2007-05-23
MtZJKwddFSyBB0QHXQRtZQ,Paid for non-smoking room but there was a smell and ashtrays in the room. Since all we were doing was sleeping there we didn't say anything. Shower was crazy slow to drain. Pillows were so lumpy that I woke up with a migraine. Room was clean and staff was nice. Free wifi but wouldn't connect.,2,2014-07-28
-nQRvxUGWYUBqTZdcyvprQ,"Stayed for one week post Christmas. Unless you take adjoining rooms as a family, strangers conversations/coughs/clearing throats/fights/dogs barking etc feel as if they are in your bed with you. Only slept two out of seven nights after hotel cleared out after New Years. Connecting doors are very poorly insulated. Staff at hotel is superior...really excellent but Starwood needs to do something about insulating those doors. Have stayed many places with connecting doors and never experienced anything as bad. Poor materials used????",2,2012-01-04
XHFOnP_cEiqRRc8_i1rJtQ,"I have never stayed at a hotel so ghetto. Sure the atmosphere is great and very classy looking. However the staff is the opposite. First of all, my friend booked us a suite for the bachelorette party she was planning. They gave us two separate rooms and my friend had to beg for them to be at least next door to each other since they ran out of suites. Then to make up for it, they threw in free valet. The next day her car had been keyed on her door when the valet brought it from the parking garage. Seriously? Worst experience and I certainly won't ever be back.",1,2015-01-18
-5k_80Y-C0TYXkkUd_tjRw,"This place was cute and was in a great location!  It is one block up from the beach and wharf, two blocks over from State Street.  Parking was convenient, and our room was a King overlooking the courtyard and spa on the ground floor.  If there were people in the spa, they could be heard, but the noise didn't bother since the spa closed at 9pm.  The room was clean with a nice couch to lounge on, a refrigerator, a nice fireplace, ample closet and counter space, and a nice bathroom.  The wine and cheese at 5 was a nice touch as well.  Although this place didn't have a lot of extras, it was a pleasant stay, friendly and helpful staff, a good price, perfect location, and suited our needs just fine for a place in Santa Barbara.  My only complaint was that the room got a little stuffy, but was fine once we opened the windows and used the ceiling fan to air it out.  Would consider staying here again.",4,2011-04-22
alP0N_bFRdeV1oVeKzvlZQ,"I've only been to their casino and I love that its only an hour away from Orlando yet it feels so far. The atmosphere is typical of most casinos with the exception of over priced burgers and fries at the Hard Rock Cafe. 

I had some luck on the Breakfast at Tiffany's slot machine and as a lover of the movie, it was a fun one to play.",4,2012-10-08
gF2MHTRq7XqH_t3XNk9HpA,"This hotel was fantastic. I was in town for a week, working at my company's PA office in Wayne. Great location and easy to get in and out. Hotel staff was very friendly. Room was immaculately cleaned and very spacious for just one person. Kitchenette was fully stocked with dishes, silverware, utensils, a small dishwasher and a full size fridge. Windows surrounding the king size bed were great- lots of natural light. I liked that opting out of housekeeping got me a $5 credit at the restaurant. 

The pool is small but no one was there the two times I went to use the hot tub. The bar has a decent drink selection, although I was bummed they were out of mint and couldn't make a mojito (which was on the drink menu). Burger was okay. Dessert was mediocre (but free with my $5 credit, so nbd). Omelet station was a nice touch in the AM. Coffee frequently had coffee grounds in it/was very weak, but the breakfast spread overall was nice.",5,2015-07-03
k6gumFSqSexf_8pnrJ9JJQ,The Loew's hotel is very clean and looks very nice. The service is amazing. My family and I wanted to stay for a whole month. The breakfast there is fantastic! My son said it looked like it was the future. That's how nice it was! The rooms were nice size and the parking is convenient. That's why I give the Loew's hotel 5 stars.,5,2014-08-10
zZyWqG7EiPqC9iB-NnUYXQ,"Smokey (to be expected - minus a star as a non smoker with allergies), several dining options (prices varies), beverages (all sorts for a nominal fee, of course), hotel (pricey), parking (FREE), entertainment (various), ATM (scared for some people who may not have self control), and yes gambling (tip: don't gamble if you're bit willing to lose it). Have fun even if you are an observer (like me).",4,2014-08-25
du1YuJ9Bwrz60HYvdHxGZQ,"STAY AWAY! I am a gold member, so I stay at Hamptons frequently. I have stayed here before, and it seems to be under constant construction. My room was dirty. I came back to give them another chance as it is close to my appointments. I show up for a four night stay, and they send me away because they are booked, but tell me I can come back tomorrow night. Seriously? I couldn't believe that. I wont be back.",1,2018-08-14
2QMIwxBiLWoNrtqrucrDKQ,Maybe I just had bad luck at this property but I am a SPG gold member... quickly approaching platinum and made a reservation at this property. I payed a good amount for my room and when I asked for a larger room they told me they where all the same. I asked did every room have adjoining doors and was told yes. I then told the front desk clerk that I could hear EVERYTHING going on next door including sneezing and even AC talking on CNN 360 very clearly. He told me to come down and get a new key and move to a room there was nobody in. They did not offer to bring me a key or help me move. When I got to the lobby the line was at least 10 people deep and there was only ONE person there. I just gave up and dealt with the noise and a few hours later they finally turned off the TV and I could sleep.  There is nothing fancy about this hotel and the service for sure needs improvement!,2,2009-10-14
41b2ucn68EX9cM13ZV903Q,"Its a hotel and you can stay there.

After a couple of stays here I find it is not bad. 

Its definitely more of a business traveler kind of place than a tourist kind of place.

Pros
The rooms have the essentials. The beds are quite comfortable.
The cafe isn't bad although it is a little foggy as to what comes with the room. Apparently its one entree and one beverage. Not a bad deal.

Cons
Hallways are a bit shaggy. NBD since I am not staying in the hallway.
Room cleaning dropped the ball on my last stay. The room was clean, but I found a bag from BK in my mini fridge ... eeeew!",3,2013-02-22
_pYWxZrAWBSaF0_OXIS20w,"We were thoroughly impressed with this hotel! Upon arriving, you are immediately welcomed with the scent of fresh baked cookies. Walking up to the desk we were greeted by Valorie who informed us that cookies and water were complementary to guests and that we were more than welcome. Across from the desk we noticed a book shelf. This is not the kind of book shelf where rejected leftovers were placed but rather, a wide range of books by well known authors. The name of the program was called Read it and Return. In essence, you can borrow a book for the duration of your stay and if you don't finish it you can return it the next time you stay at the hotel at any of the Carlson hotels who have the same program! ( what!?! Cookies and books!?! YES!) Right off the bat, we felt like we were right at home.

   Arriving at our room, we noticed that everything was extremely clean and there was a refrigerator (with a small freezer) , a microwave, a coffee maker, and a well working A.C. (you know, the kind that you don't have to yell over to have a conversation). The bathroom was stocked with brand name shampoo, conditioner, and lotion.

  Our next stop was the smoking area. Normally, smokers feel as though they have been marooned to a small place behind the dumpster...but not here! Provided was 2 sets of swinging benches; set far enough away so that it did not disturb the guests in rooms around the area but no a 10 mile hike for those adults who enjoy the pleasure. Did I also mention they have smoking rooms available?

In the morning, feel free to partake in a complimentary breakfast (NOT CONTINENTAL)-I mean a real breakfast which changes daily; anything from fresh made waffles to eggs, sausage, and bacon! Also, cold cereal, juices, and coffees have options! Coffee is available 24/7 as well! 

The hotel also has a pool and hot tub which I personally observed them clean daily!

On our last night we got back late and I was going to ask the desk for a late check out, but there was no need! Their check out time is 12:00 Pm as opposed to the hotel usual of 11:00 Am. That worked out well for us.

At checkout we were asked if there was anything we would change about the hotel or our stay. I made small suggestions which I thought would help them, but definitely nothing major. The desk person wrote down what I said and said she would pass it on! I was impressed with that, because we've been asked about our stay at other places, but it seemed more out of routine than actual interest. Here, she seemed genuinely interested. We don't usually do reviews, so I'm sorry for the long review. However, we wanted you to get a real feel for this wonderful hotel and hope that you enjoy it as much as we did! Thanks for reading and safe travels. J & Niki.",5,2014-08-24
SIfeHZB6LSwUauyrJe6F8A,"We were vacationing in the French Quarter for a few days and stumbled into Flanagan's Pub.  Our first stop was about 11am and there were just a few people, probably regulars by how the bartender greeted them.  We loved the place so much that we ended back in there 3 times in one day!

We talked with the bartenders, locals and tourists all just hanging out having a nice drink and listening to some punk rock music.  It was a nice change from the over-the-top bars on Bourbon St.",5,2010-10-07
GnloZSSEp60TE6YcR_cszg,"If you are visiting Indianapolis, I highly suggest this hotel. My boyfriend and I went just for one night and used his AAA discount which saved us a lot. They have a parking structure attached to the hotel for $20 a night. Starting at the garage they had such cool urban art that continue throughout our stay. The check in was an easy process and the service was amazing. Everywhere you turn there is another interesting piece of art work to look at. Our room was very nice, keurig coffee machine,large luxurious shower, comfy robes, and comfortable california king. We had tickets to the Pacers game which worked out perfectly. We had drinks and dinner before the game at Plat 99 which is in the hotel- again more great decor. They had a whole timeline of cocktails and complementary truffle popcorn. (they also had a really cool outdoor rooftop seating area for the bar, but was too cold and snowy to go out on) Bankers Field house was maybe 1 minute away walking. After the game we came back and got some drinks at Plat 99 again, it was pretty crowded, fun environment. For breakfast we ate at the Market Place downstairs, it was one set price for a buffet and had a lot of good food.

We checked out at 11am- very easy and the concierge was friendly and helpful. Before we left we spent about 30 minutes just walking around the hotel looking at all the art work, it is like a modern art museum. 

Overall we loved this hotel, for a quick getaway to Indianapolis, especially if you are going to a Pacers or Colts game, is was fantastic. Next time I go back to Indianapolis I will be staying here again.",5,2014-02-05
JKyXUO-ewDNACZQUag5sqw,"The location is pretty random (at the end of a long winding road with a bunch of other hotel off of the highway with no food nearby) and the building has seen better days.  

My room featured an unclean floor, torn wallpaper, dusty bathroom vents, and water spots in the bathroom.  The hallways might remind one of ""red rum"" and the building itself is ugly showing it's age as a product of the 70s (as am I so I can judge).

The bed was comfortable and the room serviceable but it was disappointing as I have grown accustomed to a higher level of quality in my Doubletree experience throughout the country.",2,2013-05-07
GRCHq50ZC53E6RuWx2ktqA,"The hotel is beautifully done. It has a boutique feel and not like just a normal hotel like the Hilton. I had my birthday party there at the restaurant and it was so very nice. The service was wonderful and the rooms are beautiful. The air conditioner was pretty loud in our room but that is my only complaint. It's very close to Printers Alley which is so cool! 
I would definitely stay in this hotel again!",5,2018-05-08
ZgYaqbKAbDYnWuxG6-wJUw,"Cockroach in my room, wifi is slower than aol in 1996, private beach costs $10 a chair. I'll never come here again.",2,2016-03-07
JjzsXc2o_u0CbfKeJQPTNw,Loved the abvionce.. got pampered and relaxed. It was hard to get a drink order place. Was the only reason I did not give them a 5. Had to ask 4 people before I was told to go call roommservice on the white phone.,4,2017-04-19
JFjQ5RntPGhsNO2agAEYtg,"Best casino in Reno.   4 deck and 2 deck blackjack, real drink glasses (no plastic fratboy cups), amazing decorum that will burn your retinas, and the restaurants inside are better the big casinos on the strip by a factor of a thousand.
The rooms are stellar for the price.  Get a hot tub and chilllllll.",5,2005-05-15
jHQiGVYdbT-9lQJmSg5rWQ,"Great place to stay if you want to be on Bourbon street.  The staff is really hospitable and didn't fail me on food choices.  The room is nice and big.  However, I stayed in room 263 and thought it was perfect because it was not a room that faced Conti.  I was wrong because it was closer to the vending and ice machines.  The door/wall was thin enough that I heard conversations in the hall next to the vending machines.

I would have rated the hotel with 4 stars if it wasn't for the thin walls.",3,2011-10-28
BGZ3GtcXhtIEPIkyLVuKDQ,"Very cool bar attached to the Alexander Hotel. Several vintage cocktails from pre-prohibition are on the menu. None cooler than ""The Elephant in the Room"" a bourbon cocktail which comes in its own decanter filled with cherrywood smoke. You decide how long to let it infuse. Lots of comfortable seating and when it warms up a touch a large beautiful deck with seating and heating overlooks the street life. As an added bonus you can relax and watch people work out through the glass of the new CityWay YMCA. 
And yes the truffle oil and sea salt popcorn that greets every patron is as good as it sounds. Get a beer and start collecting bags, once you start you can't stop.",4,2016-01-17
lm7Q8pH26kqx1gbjCJ16ZQ,"This hotel is a gem in the heart of Philadelphia.

It's a cozy, quaint, and charming property. The rooms are spacious, modern and gorgeous. 
The decor is chic and attractive: big wooden desk, hardwood floors, couches and throw pillows: Looks more like a friend's apartment than a hotel. 

Free breakfast is always a plus for those of us with limited time. It's not a hot breakfast (I've had so many mass-produced bad ones, so I'm not complaining) but greek yogurt, a huge croissant, an orange and some cranberry juice hits the spot! They leave it at your door though, instead of ringing your bell to wake you. So if you ask for it to be delivered at 7 a.m., check outside your door; by 7:01 it WILL be there. 

Coffee, a variety of teas, cold and hot water, as well as ice and a bowl of assorted fruit are available 24/7 in the lobby. There are doorbells for each room, and the hotel can only be accessed after hours if you have a key card. Floors are acessible with a keycard as well, for extra protection. The staff is very polite: one of the few places in Philly where someone will actually say ""good morning"" to you (No, seriously. I lived there for 5 years, so trust me on that). They're also extremely helpful. When I checked in the night before, the gentleman at the reservation desk called to make sure I had a cab waiting for me at 8:15 the next morning so that I could make my speaking engagement on time. While I was getting my clothes ready, my iron was making more wrinkles than it was taking out, so I asked them for a new one and within 30 seconds, I had a brand new model with all the bells and whistles.

I've read a few reviews talking about the noise level of this place. My room was closest to the reception desk and I never heard a peep. There were people out and about, but I didn't hear a thing. And I'm a very light sleeper...

A few things to note:
Its location on a tight, one way street can cause a little difficulty if you're traveling solo, but if you have one person to unload the car while someone else parks, you should be fine. The parking garage they use is about half a block from the hotel, but you have to drive in a big rectangle to get there. 

There's a stand-up shower instead of the traditional bathtub/shower combo. It fits one comfortably enough... provided that you're not too far from average height and build. (My boyfriend is 6'2 with a football player build and he made out okay.)

Don't expect much of a view. The view from our room was of the side of another building. But that's what the city is for... go out there and see something!

Overall, this was an excellent trip and a great find. I highly recommend this hotel to anyone.",5,2016-02-23
pEwlvpFtLSoYok1i9F0Tew,It's a nice place. Really nice! Great service and awesome restaurants in the hotel. Clean rooms,4,2012-07-16
abH_AUx1cylLv7cj3CyyGQ,"Having stayed here several times, it is my favorite hotel. The staff is excellent. Really exceptional. Everyone from housekeeping to front desk staff to valets.

Rooms are clean, heating and AC are quiet, beds are very comfortable and they make it feel special.

Special K is awesome. I cannot say enough about how wonderful and helpful he has been over all of our visits. One of the best reasons to visit this hotel. Did I mention the exceptional staff?

Turn-down service is Sucre chocolates on your pillow. Sweets for the sweet dreams.

The bathroom wasn't as slippery this time. 

This was the first time we used the valet service and it worked great. No more than a 10 minute wait for the car. You can text them from your phone and they text back with how long it will take.

They also hosted a Gold Status reception. We made a brief appearance on our way to a Mardi Gras ball.

Our only glitch was a mini-bar charge on our bill. We didn't consume any of their food or drink and they happily removed it from the bill.

We will be back. Note to hotel: please put Louis back in the elevator.",5,2018-02-11
_YZv3sa4vxd_5K2_tboT4A,"*note* I wrote a similar review on tripadvisor.
I really wanted to like this hotel- it was charming and in a great location, with cute, unique rooms. It was just my style. Unfortunately, some blood-sucking insects ruined that.
Yup- bed bugs. We found them the morning we were leaving, because they normally come out very early in the morning (we were up at 530). Bleck! The management let us stay as long as necessary to take care of the issue (ie throwing away a bunch of our stuff and bagging the rest in ziplocks to be boiled) but it didn't change the fact that it was gross and a huge inconvenience. I threw away about $300 worth of clothing, shoes and luggage and I'm still worried that we brought the creatures back to our house with us. 
I would never stay here again, and I would urge you to think twice about it. Without seeing every carpet and mattress in the place replaced, there's no way I'd trust that the bugs were gone.",1,2011-02-14
